label,freeze3_f1,initial_f1,delta_f1
grief,0.4000,0.0000,0.4000
relief,0.4444,0.1333,0.3111
desire,0.4730,0.4186,0.0544
nervousness,0.3922,0.3415,0.0507
neutral,0.6536,0.6161,0.0375
pride,0.3200,0.2857,0.0343
approval,0.3922,0.3655,0.0267
realization,0.2239,0.2007,0.0232
disappointment,0.3082,0.2917,0.0165
anger,0.4835,0.4735,0.0100
embarrassment,0.4286,0.4194,0.0092
gratitude,0.9188,0.9104,0.0084
annoyance,0.3322,0.3246,0.0076
love,0.7902,0.7835,0.0067
curiosity,0.5090,0.5071,0.0019
