epoch,loss,macro_f1,micro_f1,exact_match,run
1.0,0.09511925280094147,0.26693798964331117,0.5025778511033203,0.3674898636196093,freeze6
2.0,0.08490146696567535,0.4012212531610751,0.5563333013711765,0.4342056763730188,freeze6
3.0,0.0842440277338028,0.4394241141017467,0.5748425342719525,0.45374124585329895,freeze6
4.0,0.08998838067054749,0.4730833275811806,0.5764459199720426,0.4683007740508662,freeze6
5.0,0.10016801953315735,0.47480294256795086,0.5649544254195417,0.4574272023590122,freeze6
6.0,0.11093538999557495,0.46725093716005844,0.5595287480295362,0.44692222631772943,freeze6
7.0,0.11931415647268295,0.4831358898275368,0.5712196311042496,0.46129745669001104,freeze6
8.0,0.1295960694551468,0.49128881796989676,0.5670301475304682,0.44987099152230003,freeze6
9.0,0.13716138899326324,0.497536161788447,0.5758956631049654,0.450423884998157,freeze6
10.0,0.14186030626296997,0.4927050873506848,0.5728580362726704,0.44544784371544416,freeze6
